title,release year,ratingDescription
How to Get Away with Murder,2016,90.0
How to Lose a Guy in 10 Days,2003,80.0
Hunter X Hunter (2011),2013,124.0
Hurricane Bianca,2016,110.0
Hyena Road,2015,100.0
I.T,2016,124.0
Ingobernable,2017,110.0
Inside Russia's Toughest Prison,2011,90.0
Inspector Gadget 2,2003,35.0
Iron Man & Captain America: Heroes United,2014,60.0
It's Always Sunny in Philadelphia,2016,110.0
Jack and the Cuckoo-Clock Heart,2013,60.0
Jane The Virgin,2016,90.0
Jessie,2015,35.0
Jetsons: The Movie,1990,35.0
Justice League,2003,42.0
Justice League Unlimited,2005,42.0
Kevin Hart: What Now?,2016,100.0
Kong: King of the Apes,2016,42.0
Kronk's New Groove,2005,35.0
Kubo and the Two Strings,2016,60.0
Kulipari: An Army of Frogs,2016,42.0
Kung Fu Panda,2008,60.0
Kung Fu Panda 3,2016,60.0
Kurt Seyit & Sura,2014,90.0
LEGO Bionicle: The Journey to One,2016,42.0
LEGO Jurassic World: The Indominus Escape,2016,41.0
LEGO Ninjago: Masters of Spinjitzu,2015,42.0
LEGO Ninjago: Masters of Spinjitzu: Way of the Ninja,2011,42.0
LEGO: Marvel Super Heroes: Maximum Overload,2013,42.0
Lab Rats,2016,41.0
Larva,2015,35.0
Last Man Standing,2015,70.0
Law & Order: Special Victims Unit,2015,90.0
Lazy Eye,2016,110.0
LeapFrog: The Amazing Alphabet Amusement Park,2010,10.0
Lego DC Comics: Batman Be-Leaguered,2014,41.0
Leverage,2012,70.0
Lie to Me,2010,90.0
Life Unexpected,2010,70.0
Life in Pieces,2015,90.0
Like Cotton Twines,2016,124.0
Lilo & Stitch,2002,60.0
Lilo & Stitch 2: Stitch Has A Glitch,2005,60.0
Limitless,2016,90.0
Little Baby Bum: Nursery Rhyme Friends,2016,10.0
Little Boxes,2016,90.0
Little Einsteins,2007,10.0
London Has Fallen,2016,100.0
Longmire,2016,90.0
Lost,2010,90.0
Lottie Dottie Chicken,2009,10.0
Louis C.K. 2017,2017,110.0
Love,2017,110.0
Lovesick,2016,110.0
Lucky Number Slevin,2006,100.0
Luther,2015,90.0
Mad Men,2014,90.0
Madam Secretary,2016,90.0
Magic Mike,2012,100.0
Marvel Super Hero Adventures: Frost Fight!,2015,60.0
Marvel's Agents of S.H.I.E.L.D.,2016,70.0
